UgyfelNeve;SzamlafizetoAzonosito;Szamlasorszam;SzamlaOsszeg
Meszaros Peter;2168709679;81296249;179248.82
Szabo Renata;2513197587;84028563;101791.63
Toth Ferenc;2686346958;87050309;35539.35
Feher Erika;2028382047;87472308;15256.45
Simon Orsolya;2953343914;87752623;90206.05
Kovacs Sandor;2519376902;87876487;141041.99
Feher Monika;2814222109;85599053;134614.14
Feher Monika;2011683484;83914619;166287.88
Feher Judit;2600884835;85660656;75228.91
Simon Erika;2270571966;81100626;56113.75
Kiss Erika;2852214410;84567986;42627.45
Gulyas David;2280735932;82984548;109572.7
Feher Orsolya;2456154016;86734663;158662.61
Meszaros Hanna;2376566714;83080141;132816.66
Farkas Timea;2851339900;83444364;11513.25
Nagy Gabriella;2230896239;88043114;165554.83
Horvath Erika;2248677149;81160163;147370.44
Horvath Erika;2921381531;83607166;52033.23
Kovacs Timea;2640849268;82330105;115873.42
Lakatos Hanna;2624217387;80224106;144349.05
Hegedus Sandor;2663998196;86731548;141092.37
Gulyas David;2507602140;84643821;58631.64
Simon Norbert;2076018860;89526192;12092.02
Lakatos Katalin;2032799216;84910386;11786.23
Farkas Peter;2143101717;86794657;93611.22
Simon Laszlo;2504115020;81747441;174347.73
Meszaros Zoltan;2211067830;86296602;42478.79
Kiss Erika;2827945367;85284369;109593.09
Simon Istvan;2715313762;85865687;74244.88
Fodor Bence;2430744197;84964248;25131.05
Gulyas Csaba;2762919341;83156874;68569.86
Gulyas Gabriella;2844903339;87085218;60558.94
Kiss Ferenc;2556384571;84617510;63809.2
Fodor Bence;2430744197;85101693;135127.23
Molnar Sandor;2394475512;84860648;19985.78
Kovacs Erika;2430416598;84050902;139349.36
Boros Istvan;2071248721;89072054;144534.8
Molnar Bence;2768658812;83921122;179305.01
Juhasz Gabriella;2111176513;84115002;27620.64
Feher David;2758101039;89537870;68679.29
Varga Katalin;2366821829;84680412;104257.55
Kiss Monika;2094445803;85710423;68491.46
Kiss Zoltan;2682715369;88323416;111133.09
Kiss Monika;2094445803;82881484;134930.18
Kiss Adam;2415143489;89569384;156078.91
Lakatos Judit;2381328062;82512264;190129.74
Fodor Hanna;2480768298;82979155;65298.2
Kovacs Timea;2640849268;81960177;187636.39
Boros David;2356261922;84960271;119013.08
Horvath Norbert;2083720297;80770929;136613.34
Molnar Gabriella;2830018526;81406215;157666.27
Balogh Judit;2724171437;86061044;5759.03
Feher Monika;2011683484;82330175;166277.83
Simon Erika;2270571966;80269568;25843.18
Gulyas David;2280735932;88991333;192356.23
Feher Renata;2972469502;85494573;191926.93
Varga Hanna;2786675524;83344035;120647.22
Molnar Adam;2268822684;86391174;55157.17
Szabo Judit;2690269834;86328891;89690.24
Varga Gabriella;2850768291;81725722;18254.41
Toth Istvan;2433612733;86134535;116052.66
Horvath Hanna;2125020673;87757748;12005.57
Papp Zoltan;2924881038;83390404;94372.0
Gulyas Istvan;2585111207;83803691;10633.23
Hegedus Adam;2126586352;82802377;181176.95
Boros Orsolya;2642432721;82881617;72329.46
Hegedus Hanna;2212943511;88059698;180854.85
Fodor Laszlo;2790254085;86220671;139410.88
Balogh Ferenc;2592182345;88022017;162071.13
Molnar Adam;2063204491;87510499;198140.63
Szabo Judit;2410220454;84047046;38689.26
Meszaros Orsolya;2113488581;81676410;68646.92
Simon Ferenc;2823141372;88612619;136100.03
Molnar Orsolya;2396011837;82555613;132168.38
Kiss Monika;2094445803;82027667;93911.64
Simon Peter;2182126771;82566937;126353.08
Meszaros Laszlo;2620986429;89482463;109541.75
Kiss Judit;2739858618;84936594;170354.72
Boros Peter;2179859735;84374022;90416.7
Boros Istvan;2071248721;84736712;61706.74
Papp Erika;2688559884;81965008;59514.65
Kiss Erika;2734986114;88058058;92155.84
Nagy Peter;2389743756;82776660;124997.33
Fodor Laszlo;2790254085;83375461;133748.66
Varga Monika;2984296701;89555983;171209.81
Toth David;2730187785;85104873;165172.51
Molnar Laszlo;2692454018;80526720;158100.1
Molnar Timea;2545152330;87204712;194297.16
Kiss Zoltan;2682715369;84576700;102387.18
Molnar Bence;2768658812;81446140;56211.73
Lakatos Zoltan;2991056496;80118965;40922.91
Varga Sandor;2051825821;80593448;24781.53
Boros Sandor;2787103956;82519973;155391.46
Kovacs Csaba;2886982500;88080821;159649.46
Boros Norbert;2891107924;88231902;178705.36
Molnar Laszlo;2692454018;89732508;137027.42
Feher Zoltan;2131872542;82539634;6652.84
Juhasz Gabriella;2111176513;89944248;164741.32
Papp Laszlo;2477433724;80143432;75239.96
Feher David;2758101039;84255165;157708.53
Balogh Ferenc;2842849511;83016838;114488.62
Hegedus David;2086289891;82736348;193247.02
Lakatos Hanna;2511146014;89738123;62136.39
Meszaros Renata;2677202436;88167820;170319.12
Farkas Peter;2143101717;85687827;15128.6
Boros Katalin;2700565895;89896881;73036.55
Boros Peter;2179859735;83534362;78909.48
Papp Ferenc;2755264131;80200392;88894.98
Szabo Istvan;2186091038;82630195;107544.16
Papp Ferenc;2022299287;83019495;139083.84
Gulyas Gabriella;2844903339;86092287;154431.37
Papp Erika;2092450316;83295294;141606.24
Balogh Sandor;2291110191;82500180;145068.97
Molnar Laszlo;2692454018;88990493;81112.33
Fodor Timea;2374105174;88245729;102653.76
Fodor Bence;2529730783;87224732;169485.1
Hegedus David;2086289891;86010680;40035.62
Juhasz Bence;2876555098;81799689;52745.36
Boros Sandor;2787103956;82337178;172337.42
Hegedus Judit;2769903103;81431668;19970.8
Juhasz David;2231530877;83371759;181023.87
Juhasz Zoltan;2895729374;82223481;159934.78
Hegedus David;2086289891;89466360;135810.21
Fodor Hanna;2253585092;84231746;66877.03
Gulyas Sandor;2364259991;86291926;159735.57
Gulyas Timea;2490437711;82325688;67156.14
Juhasz Zoltan;2895729374;88500182;191723.46
Meszaros Adam;2852701720;81515871;187297.29
Kovacs Hanna;2817207760;84413282;103821.47
Simon Zoltan;2193563113;81961023;189172.48
Fodor Laszlo;2790254085;84915064;159986.37
Gulyas Istvan;2585111207;84471082;20212.61
Hegedus Adam;2126586352;86720709;2712.38
Kiss Monika;2094445803;81301196;24849.46
Lakatos Istvan;2250232968;84097905;61742.27
Szabo Sandor;2949397381;86392031;61571.99
Balogh Judit;2724171437;84533847;152441.49
Nagy Csaba;2369122382;81925494;180623.94
Kiss Monika;2094445803;89918796;137087.45
Gulyas Istvan;2585111207;86038969;80609.21
Feher Norbert;2357963114;88455941;55707.5
Gulyas David;2507602140;81827683;195584.5
Simon Ferenc;2952715416;85312975;66058.54
Lakatos Orsolya;2484745054;87614902;178867.87
Varga Erika;2505267831;86595361;168276.55
Varga Hanna;2786675524;81793900;67241.17
Molnar Katalin;2724720072;81826246;124627.15
Kiss Csaba;2836861559;84741192;23435.69
Toth David;2730187785;81253203;117843.85
Varga Erika;2959913544;88503892;36474.82
Simon Orsolya;2953343914;88949563;130171.89
Papp Judit;2047087074;88801541;145880.02
Meszaros Orsolya;2657275627;89967382;198096.73
Balogh Csaba;2800839945;87016459;161841.95
Boros Renata;2134463567;85530421;103170.43
Balogh Ferenc;2842849511;85710821;58421.91
Horvath David;2739513130;80472278;4179.89
Gulyas Zoltan;2993883463;82640043;25167.07
Gulyas Ferenc;2196219875;89213162;13542.82
Simon Zoltan;2193563113;82457797;169135.86
Fodor Katalin;2032974795;89540818;132973.62
Feher Monika;2011683484;80467779;46580.5
Boros Bence;2902991491;82886929;193589.75
Szabo Judit;2950379681;86512534;95565.77
Papp Gabriella;2906552686;88598637;194075.29
Boros Adam;2274509129;89304954;80954.01
Juhasz Adam;2631245045;87355176;119678.78
Lakatos Gabriella;2639623634;86146626;178696.39
Varga Hanna;2786675524;81889243;175920.68
Boros Katalin;2786020589;84869599;113555.23
Nagy Csaba;2613680044;85891706;132580.56
Szabo Norbert;2160277470;87647740;153642.58
Juhasz David;2231530877;84082273;36331.12
Molnar Judit;2626018218;86464380;196938.89
Fodor Timea;2374105174;88310894;167038.03
Boros Judit;2891648424;83146934;92218.59
Boros Adam;2274509129;85751018;123341.77
Szabo Zoltan;2961190431;81065259;129247.63
Boros Adam;2274509129;81169452;101433.07
Gulyas Katalin;2379282461;82680105;101079.15
Simon Zoltan;2193563113;84531222;90898.52
Papp Adam;2173051270;85539637;37694.89
Varga Bence;2556358535;88657385;87857.45
Feher Erika;2438561408;83128926;153775.84
Hegedus Renata;2872505988;80550546;65223.12
Hegedus Adam;2126586352;89129576;170151.11
Nagy Gabriella;2230896239;87269730;122276.89
Nagy Gabriella;2230896239;84504928;54079.38
Balogh Renata;2444360788;82344262;9213.51
Gulyas Ferenc;2196219875;82953294;89582.8
Feher Norbert;2357963114;80559230;43094.64
Gulyas Ferenc;2196219875;86982026;43165.07
Szabo Bence;2216751187;85327409;67788.24
Farkas Hanna;2786570688;89394544;49779.7
Gulyas Gabriella;2844903339;88795519;54146.98
Nagy Gabriella;2230896239;86461980;101516.65
Varga Judit;2733550164;85881784;71883.08
Molnar Orsolya;2396011837;80064210;59268.02
Kiss Erika;2827945367;89523994;46469.06
Papp Erika;2092450316;85828266;186389.76
Molnar Orsolya;2396011837;87867736;193204.82
Nagy Ferenc;2083789524;82867994;80156.73
Lakatos Katalin;2032799216;89524474;75164.44
Kiss Norbert;2966762788;82530198;163023.85
Juhasz Norbert;2448997941;82681486;158471.17
Papp Zoltan;2924881038;81409510;148214.35
Varga Hanna;2786675524;84875537;168312.25
Boros Sandor;2787103956;86090220;71555.72
Nagy Adam;2043145406;85465794;73447.74
Feher Zoltan;2131872542;83564008;83236.81
Molnar Laszlo;2692454018;80862434;193399.34
Juhasz Bence;2876555098;89818741;12112.22
Boros David;2356261922;80464942;117406.35
Balogh Csaba;2264888254;87459422;51065.73
Fodor Laszlo;2790254085;80935329;164837.36
Simon Zoltan;2193563113;85958370;107820.62
Fodor Peter;2988272836;84816958;135023.83
Nagy Adam;2043145406;80032434;36551.92
Kovacs Sandor;2519376902;89620953;45310.92
Lakatos Hanna;2511146014;88608060;150030.48
Varga Gabriella;2850768291;82010126;44863.63
Feher Renata;2972469502;84039531;54030.81
Szabo Sandor;2101074504;86655170;66457.8
Gulyas Ferenc;2196219875;80075657;154133.03
Simon Judit;2053348587;89832787;74077.42
Feher Renata;2972469502;83186936;33885.51
Boros Timea;2940908277;81658891;78056.23
Lakatos Katalin;2032799216;85454893;150750.03
Meszaros Adam;2954510569;88152490;111297.87
Hegedus David;2344634528;84276047;129230.84
Hegedus David;2086289891;85061274;9885.28
Juhasz Zoltan;2895729374;83719400;166355.63
Horvath Erika;2248677149;85663250;105956.45
Juhasz Timea;2729133930;83479612;157550.97
Horvath Ferenc;2034233718;80428005;121207.86
Varga Monika;2984296701;85792646;49003.39
Molnar Katalin;2724720072;85048520;80642.19
Fodor Laszlo;2790254085;80765631;35722.9
Juhasz Istvan;2719012916;82114900;71578.93
Kovacs Csaba;2203221567;88774157;193022.83
Lakatos Katalin;2032799216;89995891;27908.28
Fodor Monika;2364245101;80890884;165208.23
Lakatos Gabriella;2200681783;84359726;122288.16
Boros Peter;2179859735;86891956;34975.78
Boros Sandor;2787103956;88080476;97675.87
Balogh Ferenc;2952210348;82840545;116545.61
Kovacs Erika;2522600273;88431632;68272.74
Lakatos Hanna;2511146014;88473612;123884.02
Fodor Hanna;2253585092;82971843;62294.13
Hegedus Adam;2126586352;82837161;83893.79
Kiss Istvan;2609628565;85923051;84961.66
Toth Norbert;2267433395;83059461;177734.66
Hegedus Timea;2742410677;80844969;107183.05
Lakatos Katalin;2032799216;88049832;72117.23
Gulyas David;2280735932;85216442;23967.49
Juhasz Norbert;2856958498;86511050;120361.53
Feher Timea;2252833982;82569812;37710.56
Juhasz Adam;2631245045;82610307;32413.81
Balogh Ferenc;2592182345;82214666;124792.68
Balogh Judit;2724171437;80331864;59294.18
Kovacs Ferenc;2776575794;88313740;122101.78
Hegedus Hanna;2212943511;81917493;36211.21
Molnar Adam;2063204491;83775536;43902.43
Kiss Erika;2852214410;86711336;58369.82
Fodor Bence;2430744197;84991886;28518.32
Varga Hanna;2786675524;83635348;133462.09
Hegedus Adam;2126586352;81997515;86093.81
Meszaros Renata;2677202436;83993536;20105.14
Meszaros Orsolya;2113488581;87532853;121889.77
Lakatos Gabriella;2200681783;83735440;59944.57
Toth Judit;2089713890;89201454;41234.92
Feher Sandor;2299644820;81571884;23350.11
Varga Monika;2984296701;80322222;94370.17
Feher Zoltan;2131872542;82546424;65380.01
Molnar Sandor;2261520965;89147046;78449.05
Gulyas Zoltan;2993883463;87482912;160435.77
Gulyas Ferenc;2196219875;85412406;156570.56
Farkas Istvan;2940777332;86425808;146355.07
Fodor Laszlo;2790254085;84399214;62442.39
Lakatos Norbert;2360923190;84393724;45316.45
Toth Hanna;2607440721;86897967;139391.56
Lakatos Istvan;2229682528;82002419;77517.89
Boros Sandor;2787103956;83893287;129367.78
Boros Adam;2274509129;84928709;175178.02
Kiss Erika;2827945367;81171220;44464.87
Feher Monika;2087197055;83056423;184400.43
Balogh Judit;2724171437;85816728;35831.69
Juhasz Norbert;2856958498;83628396;108681.18
Kiss Bence;2325027196;87868574;125031.7
Boros Peter;2179859735;83649076;143859.18
Kovacs Peter;2799363586;87623713;130094.19
Varga Judit;2733550164;89328548;145882.57
Papp Erika;2688559884;88482631;168736.19
Horvath Gabriella;2752029936;80784938;37514.09
Fodor Hanna;2253585092;88808535;156320.68
Balogh Judit;2724171437;88411280;94674.89
Nagy Csaba;2613680044;86347350;93143.92
Papp Ferenc;2755264131;82889469;155763.45
Fodor Csaba;2203719523;87475368;143158.49
Simon Timea;2270444695;80001152;48399.5
Gulyas David;2280735932;83422242;150850.74
Kiss Erika;2852214410;80446586;73844.36
Szabo Judit;2950379681;89290245;191646.11
Feher Hanna;2774649127;84546224;71529.15
Kiss Zoltan;2682715369;81423928;115913.52
Meszaros Norbert;2566394510;83529607;65138.08
Juhasz Bence;2876555098;82699815;4750.52
Juhasz Gabriella;2111176513;80942803;68811.15
Simon Laszlo;2504115020;83398332;53890.48
Horvath David;2739513130;85736710;14438.09
Szabo Judit;2950379681;82983281;51712.08
Nagy Peter;2425503641;83588693;156821.35
Feher Timea;2252833982;83087596;192882.54
Boros Katalin;2179319301;88704644;127746.63
Boros Istvan;2071248721;84874902;54171.92
Nagy Peter;2389743756;87004822;166907.08
Nagy Peter;2425503641;83296907;138505.93
Boros Sandor;2787103956;87930966;177901.71
Feher Hanna;2409151390;80170847;75474.39
Lakatos Gabriella;2200681783;80620733;31603.55
Kiss Judit;2739858618;83006846;80532.19
Juhasz Adam;2631245045;81804299;105061.76
Fodor Bence;2425394561;81761811;70055.38
Horvath Laszlo;2616567738;81043201;35855.59
Simon Erika;2270571966;86200108;148926.44
Gulyas Istvan;2835312359;81016307;30678.87
Boros Katalin;2179319301;88099355;12889.7
Hegedus Katalin;2171962052;86323826;186949.83
Molnar Erika;2740563769;87480414;49466.95
Kovacs Timea;2640849268;84350758;37955.86
Fodor Renata;2407457714;83064592;18350.03
Juhasz Katalin;2399957385;85300773;172120.68
Boros Hanna;2498873364;82150205;145871.25
Boros Hanna;2498873364;81589487;17190.09
Boros Hanna;2498873364;80387587;138507.03
Fodor Hanna;2253585092;81795684;77888.2
Gulyas Zoltan;2993883463;89322976;140940.36
Kiss Judit;2739858618;85552562;3033.83
Papp Erika;2688559884;80331689;180852.09
Boros Sandor;2787103956;83155408;47086.23
Boros Peter;2179859735;88915173;8679.77
Gulyas Timea;2490437711;82379796;60140.3
Horvath Hanna;2125020673;85392370;139176.96
Meszaros Orsolya;2113488581;86303167;46730.76
Varga Csaba;2278901890;82055739;50156.78
Molnar Adam;2063204491;80344973;15181.65
Hegedus Peter;2943001177;86992633;99383.49
Gulyas David;2280735932;84619927;98776.59
Molnar Erika;2740563769;80232050;17049.75
Nagy Peter;2425503641;89745994;55632.8
Meszaros Orsolya;2465418313;81559289;75951.33
Toth David;2864597502;83164422;84980.33
Nagy Timea;2055731272;89184813;48126.57
Szabo Ferenc;2113614454;84533299;15872.45
Juhasz Judit;2594982871;87587566;151693.17
Szabo Judit;2950379681;85943658;108740.32
Toth David;2730187785;85012322;92823.21
Feher Monika;2087197055;83312889;83584.06
Fodor Bence;2430744197;88442171;96402.52
Boros Hanna;2498873364;83502641;157243.42
Simon Laszlo;2504115020;83850473;122480.88
Varga Monika;2984296701;88559628;157501.89
Horvath Timea;2096616806;84161978;172658.46
Lakatos Hanna;2511146014;87229048;23981.43
Papp Sandor;2127217850;84893371;63024.09
Molnar Laszlo;2692454018;87201044;152820.1
Fodor Bence;2430744197;83195293;11804.4
Papp Monika;2987562713;84224597;160875.37
Toth Katalin;2663091174;85203466;128010.28
Gulyas David;2280735932;83985739;11034.96
Nagy Csaba;2898099864;81504323;3050.65
Gulyas Istvan;2585111207;83300558;13209.51
Feher Erika;2610640359;82879420;179728.35
Gulyas Ferenc;2196219875;84180306;14714.78
Lakatos Gabriella;2200681783;82134087;139221.5
Simon Sandor;2986581225;87692224;72919.43
Boros Peter;2179859735;84191648;71340.44
Juhasz Zoltan;2895729374;87614297;76528.75
Boros Sandor;2787103956;86631461;80854.25
Simon Ferenc;2952715416;82537004;52872.44
Kiss Erika;2852214410;80666547;43678.78
Meszaros Orsolya;2113488581;89495373;13254.94
Fodor Laszlo;2790254085;83175221;33825.74
Simon Norbert;2076018860;81617330;184597.28
Meszaros Judit;2696393822;80205198;124152.52
Meszaros David;2254820349;85571281;197404.32
Kiss Erika;2827945367;87704228;36186.58
Kovacs Erika;2522600273;80063296;32913.71
Varga Judit;2359628874;81655523;110501.13
Juhasz Gabriella;2111176513;86672461;85965.59
Nagy Monika;2192671852;86748370;153930.25
Horvath Erika;2248677149;80112645;10376.61
Balogh Norbert;2421736754;88316497;43864.82
Nagy Peter;2389743756;82098699;81066.35
Papp Gabriella;2906552686;87605992;186470.0
Papp Judit;2858653823;81866848;36822.03
Lakatos Katalin;2032799216;88956577;151616.3
Gulyas David;2507602140;89710520;51944.6
Varga Judit;2733550164;87227551;96897.2
Horvath David;2260209741;82121703;184049.79
Varga Gabriella;2850768291;89691688;115744.25
Feher Erika;2610640359;89130786;75309.7
Juhasz Gabriella;2111176513;85087499;49715.91
Hegedus Timea;2855396578;81633181;120014.12
Feher Timea;2252833982;84848537;64469.24
Kiss Peter;2093018562;86824843;78014.18
Gulyas Istvan;2585111207;87752032;122895.13
Papp Gabriella;2671013906;88226441;86525.35
Boros Istvan;2968330965;88849904;135381.07
Toth Hanna;2607440721;80093573;125925.87
Meszaros Hanna;2376566714;84467068;76757.41
Molnar Orsolya;2685068213;81564945;191615.58
Molnar Katalin;2594729455;82856745;182419.69
Boros Katalin;2156907920;88177348;151512.3
Gulyas Orsolya;2338193540;82222346;190918.93
Lakatos Hanna;2511146014;84686794;78611.39
Papp Ferenc;2755264131;83032477;67282.91
Kiss Erika;2734986114;84244988;134151.31
Lakatos Norbert;2033758001;89573746;158247.35
Horvath Hanna;2125020673;83664651;109850.1
Szabo Judit;2410220454;82532602;157686.42
Papp Gabriella;2906552686;85802368;63104.58
Lakatos Hanna;2983400866;89778419;40976.52
Kovacs Erika;2522600273;81890186;82595.4
Papp Erika;2092450316;87824250;91734.15
Varga Hanna;2786675524;83883473;108421.41
Kiss Monika;2094445803;81620192;106763.21
Boros Peter;2179859735;89244829;13027.07
Kovacs Norbert;2641500329;88714442;93964.68
Feher Monika;2087197055;84446668;52155.14
Hegedus David;2086289891;83599750;83754.87
Gulyas Timea;2490437711;87631881;11068.9
Kiss Zoltan;2682715369;87225325;100694.53
Meszaros Renata;2677202436;85828326;108835.15
Gulyas David;2280735932;86779769;60215.9
Kiss Monika;2094445803;84342802;193357.14
Feher Monika;2011683484;89968444;29335.16
Szabo Sandor;2905190816;88823803;21128.91
Szabo Monika;2611957485;81628472;63271.36
Nagy Adam;2163775108;88116239;178780.79
Hegedus David;2086289891;87742257;150762.26
Juhasz Sandor;2891985508;87445531;46664.52
Meszaros Hanna;2660488629;86296113;107994.21
Molnar Zoltan;2327530801;83231218;182270.12
Gulyas Csaba;2055870618;85262979;134533.98
Juhasz Katalin;2461623376;83786775;25750.14
Toth Katalin;2663091174;88091152;167591.64
Papp Gabriella;2906552686;83982660;122486.78
Feher Renata;2972469502;88803682;73540.48
Feher Erika;2610640359;84872475;151800.79
Szabo David;2261027957;81584900;97360.92
Feher Zoltan;2562105511;80223132;148964.06
Szabo Judit;2410220454;88459325;79963.39
Gulyas Erika;2970157895;83791402;151234.85
Nagy Ferenc;2083789524;83018990;109541.24
Papp Sandor;2006336842;89437800;177491.36
Balogh Ferenc;2842849511;84510180;15261.93
Gulyas Istvan;2216129840;84019893;64293.56
Boros David;2356261922;85115618;194486.63
Toth Gabriella;2458933185;83579027;64327.69
Horvath Norbert;2083720297;82116921;189337.44
Simon Monika;2954757367;86784728;53726.19
Nagy Gabriella;2230896239;81050264;166288.56
Kovacs Timea;2640849268;85035477;79947.22
Juhasz Bence;2876555098;89632158;23988.45
